zip_code,stab,complaint_volume,total_population,median_age,total_housing_units,avg_pct_broadband_25_3,avg_pct_broadband_100_20
76039,TX,22.0,40664,34.5,40664,1.9659,1.9659
76040,TX,35.0,31172,33.0,31172,1.0866,1.0866
76041,TX,0.0,661,41.0,661,0.0,0.0
76043,TX,8.0,7286,43.4,7286,2.9493,2.9493
76044,TX,7.0,8759,36.6,8759,3.01,3.01
76048,TX,18.0,26301,46.7,26301,11.898299999999999,11.898299999999999
76049,TX,11.0,30911,50.5,30911,8.1017,8.1017
76050,TX,6.0,7178,44.1,7178,3.0,3.0
76051,TX,25.0,50514,39.9,50514,3.9476,3.9476
76052,TX,17.0,31569,33.1,31569,4.0499,4.0499
76053,TX,17.0,31377,36.2,31377,2.1153,2.1153
76054,TX,12.0,11840,42.9,11840,0.8996999999999999,0.8996999999999999
76055,TX,3.0,3719,36.8,3719,3.0,3.0
76058,TX,7.0,21531,36.0,21531,4.0896,4.0896
76059,TX,0.0,5333,32.1,5333,3.026,3.026
76060,TX,7.0,8808,40.8,8808,3.8828,3.8828
76061,TX,0.0,0,,0,0.0,0.0
76063,TX,35.0,81758,36.8,81758,4.9224,4.9224
76064,TX,0.0,2803,41.7,2803,2.8947,2.8947
76065,TX,29.0,44614,36.1,44614,4.0516000000000005,4.0516000000000005
76066,TX,3.0,5615,35.8,5615,3.7251,3.7251
76067,TX,11.0,20906,38.3,20906,3.9964,3.9964
76070,TX,1.0,956,25.7,956,0.0,0.0
76071,TX,0.0,4723,36.0,4723,4.4152000000000005,4.4152000000000005
76073,TX,4.0,7267,41.3,7267,3.0,3.0
76077,TX,0.0,809,26.7,809,0.050699999999999995,0.050699999999999995
76078,TX,13.0,10200,35.6,10200,9.062,9.062
76082,TX,19.0,24338,37.7,24338,6.7321,6.7321
76084,TX,12.0,13645,33.3,13645,3.0568,3.0568
76085,TX,8.0,11083,44.1,11083,0.6343,0.6343
76086,TX,10.0,22900,34.7,22900,2.674,2.674
76087,TX,27.0,33353,41.5,33353,14.4284,14.4284
76088,TX,6.0,15748,44.9,15748,5.3361,5.3361
76092,TX,15.0,31344,42.6,31344,4.0535,4.0535
76093,TX,1.0,4193,38.0,4193,3.0,3.0
76102,TX,7.0,11783,36.8,11783,0.0576,0.0576
76103,TX,9.0,16769,30.6,16769,0.0672,0.0672
76104,TX,23.0,20694,31.8,20694,0.094,0.094
76105,TX,5.0,22550,31.2,22550,0.102,0.102
76106,TX,9.0,36374,30.7,36374,0.2427,0.2427
76107,TX,17.0,31112,37.5,31112,3.1348000000000003,3.1348000000000003
76108,TX,19.0,44762,36.4,44762,4.5674,4.5674
76109,TX,9.0,26000,32.4,26000,0.4792,0.4792
76110,TX,9.0,32089,33.4,32089,0.13,0.13
76111,TX,4.0,20823,35.8,20823,0.2035,0.2035
76112,TX,36.0,44379,32.5,44379,0.1876,0.1876
76114,TX,6.0,26665,33.9,26665,9.004,9.004
76115,TX,4.0,21044,29.5,21044,0.0912,0.0912
76116,TX,20.0,49685,34.7,49685,0.9,0.9
76117,TX,8.0,32086,36.0,32086,2.0929,2.0929
76118,TX,8.0,17486,39.9,17486,2.9882,2.9882
76119,TX,25.0,53062,31.8,53062,1.7481,1.7481
76120,TX,12.0,20031,34.1,20031,0.0836,0.0836
76123,TX,16.0,42777,34.3,42777,0.1652,0.1652
76126,TX,14.0,25920,39.7,25920,2.6456000000000004,2.6456000000000004
76127,TX,0.0,1839,36.7,1839,0.0096,0.0096
76129,TX,0.0,1722,19.8,1722,0.0112,0.0112
76131,TX,28.0,53194,34.1,53194,4.5032,4.5032
76132,TX,13.0,26432,35.9,26432,0.3988,0.3988
76133,TX,14.0,53825,34.0,53825,0.2256,0.2256
76134,TX,8.0,29207,32.2,29207,3.1024,3.1024
76135,TX,8.0,18903,39.4,18903,4.5431,4.5431
76137,TX,26.0,59384,34.5,59384,1.2194,1.2194
76140,TX,13.0,31693,32.1,31693,6.5275,6.5275
76148,TX,13.0,23608,38.5,23608,2.8215000000000003,2.8215000000000003
76155,TX,3.0,6301,31.3,6301,0.0244,0.0244
76164,TX,1.0,13134,36.1,13134,0.068,0.068
76177,TX,15.0,24141,31.8,24141,0.1408,0.1408
76179,TX,28.0,76468,34.3,76468,5.2848,5.2848
76180,TX,78.0,37900,37.3,37900,1.6673999999999998,1.6673999999999998
76182,TX,21.0,30771,43.2,30771,1.3353,1.3353
76201,TX,19.0,29832,24.3,29832,0.7896,0.7896
76203,TX,0.0,1060,18.4,1060,0.0064,0.0064
76205,TX,18.0,19651,29.4,19651,0.5424,0.5424
76207,TX,17.0,18252,39.9,18252,0.4116,0.4116
76208,TX,5.0,27186,35.7,27186,5.122,5.122
76209,TX,21.0,27859,30.7,27859,0.8032,0.8032
76210,TX,26.0,46790,37.5,46790,4.1512,4.1512
76225,TX,2.0,3311,43.6,3311,3.0,3.0
76226,TX,26.0,40516,39.7,40516,17.4224,17.4224
76227,TX,93.0,55437,34.9,55437,22.9404,22.9404
76228,TX,1.0,1320,46.6,1320,3.0,3.0
76230,TX,6.0,9885,42.7,9885,4.0,4.0
76233,TX,4.0,3604,41.0,3604,3.0,3.0
76234,TX,17.0,20912,40.2,20912,4.0084,4.0084
76238,TX,0.0,504,34.9,504,0.0,0.0
76239,TX,0.0,1201,40.9,1201,0.0,0.0
76240,TX,35.0,29271,39.2,29271,13.5508,13.5508
76241,TX,0.0,0,,0,0.0012,0.0012
76244,TX,94.0,75149,34.9,75149,0.3359,0.3359
76245,TX,5.0,1778,57.2,1778,3.0,3.0
76247,TX,187.0,18360,35.6,18360,7.8969,7.8969
76248,TX,30.0,40389,44.1,40389,2.6804,2.6804
76249,TX,27.0,10069,37.9,10069,4.0092,4.0092
76250,TX,1.0,973,38.5,973,2.4200999999999997,2.4200999999999997
76251,TX,0.0,704,45.5,704,3.0,3.0
76252,TX,0.0,2836,42.1,2836,3.1635,3.1635
76253,TX,0.0,236,39.1,236,2.8365,2.8365
76255,TX,2.0,5725,42.9,5725,6.0,6.0
76258,TX,10.0,8042,43.8,8042,3.012,3.012
76259,TX,6.0,5628,37.8,5628,3.0004,3.0004
76261,TX,0.0,203,58.4,203,3.0,3.0
76262,TX,36.0,43589,38.4,43589,11.8681,11.8681
76263,TX,0.0,30,57.2,30,0.0,0.0
76264,TX,2.0,1020,51.9,1020,2.3394000000000004,2.3394000000000004
76265,TX,2.0,1634,39.4,1634,3.0,3.0
76266,TX,9.0,18246,40.7,18246,4.0028,4.0028
76267,TX,0.0,76,21.7,76,0.0,0.0
76268,TX,0.0,248,37.7,248,0.6747,0.6747
76270,TX,3.0,2252,50.6,2252,3.0,3.0
76271,TX,3.0,1864,48.6,1864,3.0,3.0
76272,TX,2.0,4947,48.2,4947,6.0,6.0
76273,TX,11.0,11019,39.1,11019,3.8997,3.8997
76301,TX,6.0,15727,34.7,15727,0.5988,0.5988
76302,TX,14.0,11949,36.6,11949,0.4848,0.4848
76305,TX,1.0,4929,46.5,4929,9.5877,9.5877
76306,TX,4.0,14487,33.5,14487,0.5728,0.5728
76308,TX,9.0,21267,30.6,21267,4.748,4.748
76309,TX,10.0,13344,39.3,13344,0.5104,0.5104
76310,TX,6.0,19362,37.9,19362,1.9299,1.9299
76311,TX,1.0,6381,20.6,6381,0.2484,0.2484
76351,TX,1.0,1481,44.1,1481,3.0,3.0
76354,TX,6.0,11822,41.3,11822,4.0,4.0
76357,TX,0.0,452,54.7,452,3.0,3.0
76360,TX,2.0,2692,40.7,2692,3.0,3.0
76363,TX,0.0,137,53.4,137,3.0,3.0
76364,TX,0.0,222,41.9,222,3.0,3.0
76365,TX,3.0,4668,49.3,4668,3.0,3.0
76366,TX,1.0,2096,35.9,2096,2.8878,2.8878
76367,TX,1.0,14013,40.8,14013,5.4322,5.4322
76370,TX,0.0,464,53.0,464,3.0,3.0
76371,TX,0.0,1801,36.8,1801,3.0,3.0
76372,TX,0.0,1024,47.6,1024,6.0,6.0
76373,TX,0.0,159,62.0,159,3.0,3.0
76374,TX,3.0,3915,40.4,3915,3.0,3.0
76377,TX,0.0,470,46.5,470,3.0,3.0
76379,TX,0.0,623,29.6,623,3.0,3.0
76380,TX,0.0,3484,47.6,3484,3.0,3.0
76384,TX,3.0,12239,39.5,12239,7.0,7.0
76388,TX,0.0,215,49.4,215,3.0,3.0
76389,TX,0.0,1475,44.9,1475,3.0,3.0
76401,TX,6.0,30873,30.1,30873,9.198,9.198
76402,TX,0.0,769,19.3,769,0.1876,0.1876
76424,TX,10.0,8626,40.3,8626,4.0,4.0
76426,TX,2.0,11065,41.2,11065,9.0,9.0
76427,TX,1.0,1125,33.5,1125,3.0,3.0
76429,TX,0.0,157,68.2,157,0.0,0.0
76430,TX,1.0,2383,44.7,2383,3.0,3.0
76431,TX,1.0,4480,38.2,4480,3.0,3.0
76432,TX,0.0,1376,51.1,1376,3.0,3.0
76433,TX,1.0,2018,53.5,2018,3.0,3.0
76435,TX,0.0,732,37.6,732,3.0,3.0
76436,TX,0.0,87,22.1,87,3.0,3.0
76437,TX,7.0,5895,41.9,5895,3.0,3.0
76439,TX,0.0,0,,0,0.11549999999999999,0.11549999999999999
76442,TX,2.0,7082,42.0,7082,6.0,6.0
76443,TX,0.0,1812,48.1,1812,3.0,3.0
76444,TX,1.0,4235,40.8,4235,3.0,3.0
76445,TX,0.0,363,42.8,363,0.0,0.0
76446,TX,2.0,8144,39.5,8144,6.6144,6.6144
76448,TX,1.0,4920,48.3,4920,3.0,3.0
76449,TX,0.0,2157,57.0,2157,3.0,3.0
76450,TX,6.0,12890,40.4,12890,4.0,4.0
76452,TX,0.0,138,56.4,138,0.0,0.0
76453,TX,0.0,1474,58.2,1474,2.8467,2.8467
76454,TX,1.0,1396,49.2,1396,3.0,3.0
76455,TX,0.0,675,53.2,675,6.0,6.0
76457,TX,1.0,4449,43.3,4449,3.0,3.0
76458,TX,0.0,6103,42.0,6103,3.0,3.0
76459,TX,0.0,87,68.4,87,0.0,0.0
76460,TX,0.0,453,45.7,453,3.0,3.0
76462,TX,1.0,4920,37.4,4920,5.8845,5.8845
76463,TX,0.0,489,51.3,489,3.1532999999999998,3.1532999999999998
76464,TX,0.0,463,59.6,463,3.0,3.0
76466,TX,0.0,620,23.9,620,0.0,0.0
76469,TX,0.0,41,55.4,41,3.0,3.0
76470,TX,1.0,3161,37.8,3161,3.0,3.0
76471,TX,1.0,1530,51.2,1530,3.0,3.0
76472,TX,2.0,1343,46.7,1343,6.0,6.0
76474,TX,0.0,421,51.1,421,0.0,0.0
76475,TX,0.0,1037,38.0,1037,3.0,3.0
76476,TX,1.0,3638,36.8,3638,3.0,3.0
76481,TX,0.0,206,50.2,206,0.0,0.0
76483,TX,0.0,675,53.5,675,3.0,3.0
76484,TX,0.0,1000,40.6,1000,3.0,3.0
76486,TX,0.0,1375,33.9,1375,3.0,3.0
76487,TX,2.0,3799,34.3,3799,0.0,0.0
76490,TX,0.0,40,25.7,40,0.0,0.0
76491,TX,0.0,861,30.4,861,3.0,3.0
76501,TX,7.0,17223,35.4,17223,1.3664,1.3664
76502,TX,35.0,51175,34.5,51175,2.1112,2.1112
76504,TX,14.0,24856,33.2,24856,1.1748,1.1748
76511,TX,0.0,2473,42.7,2473,3.0,3.0
76513,TX,41.0,44855,34.2,44855,8.1784,8.1784
76518,TX,0.0,1290,40.6,1290,3.0,3.0
76519,TX,0.0,672,37.5,672,6.0,6.0
76520,TX,5.0,8098,36.8,8098,4.0,4.0
76522,TX,28.0,41895,33.9,41895,5.0784,5.0784
76523,TX,0.0,402,57.5,402,0.0,0.0
76524,TX,0.0,3855,45.7,3855,2.1507,2.1507
76525,TX,0.0,1210,53.6,1210,3.0,3.0
76527,TX,2.0,4686,39.5,4686,3.0,3.0
76528,TX,19.0,18490,39.7,18490,12.4632,12.4632
76530,TX,3.0,2704,42.1,2704,3.0,3.0
76531,TX,1.0,4673,44.1,4673,3.0,3.0
76534,TX,2.0,2812,49.1,2812,3.0,3.0
76537,TX,28.0,12526,30.7,12526,7.9656,7.9656
76538,TX,0.0,996,51.8,996,0.0,0.0
76539,TX,16.0,8642,46.3,8642,1.9187999999999998,1.9187999999999998
76541,TX,8.0,18571,31.6,18571,0.5165,0.5165
76542,TX,16.0,53631,32.1,53631,1.3084,1.3084
76543,TX,7.0,33713,29.9,33713,0.7776,0.7776
76544,TX,2.0,26896,21.7,26896,2.9979,2.9979
76548,TX,13.0,33071,34.7,33071,3.9508,3.9508
76549,TX,20.0,56083,29.3,56083,1.4024,1.4024
76550,TX,7.0,13699,42.8,13699,4.0,4.0
76554,TX,3.0,2199,32.6,2199,3.0,3.0
76556,TX,1.0,1928,37.5,1928,3.0,3.0
76557,TX,3.0,5341,43.6,5341,3.1516,3.1516
76559,TX,1.0,6896,31.6,6896,3.954,3.954
76561,TX,0.0,1070,44.8,1070,3.0,3.0
76565,TX,0.0,0,,0,0.0,0.0
76566,TX,0.0,387,52.1,387,0.0,0.0
76567,TX,14.0,8457,43.5,8457,8.0,8.0
76569,TX,1.0,2946,40.2,2946,3.0,3.0
76570,TX,2.0,2506,50.7,2506,3.0,3.0
76571,TX,9.0,9454,47.1,9454,3.0004,3.0004
76573,TX,0.0,22,23.9,22,0.0,0.0
76574,TX,17.0,19746,41.8,19746,4.0807,4.0807
76577,TX,2.0,3297,46.0,3297,2.9904,2.9904
76578,TX,1.0,1561,39.5,1561,3.0096,3.0096
76579,TX,5.0,5729,35.5,5729,7.1128,7.1128
76596,TX,0.0,1066,39.8,1066,0.2872,0.2872
76597,TX,0.0,3333,40.7,3333,0.8016,0.8016
76598,TX,0.0,452,38.3,452,0.1092,0.1092
76599,TX,0.0,1906,38.4,1906,0.3388,0.3388
76621,TX,0.0,1033,36.2,1033,3.0,3.0
76622,TX,2.0,1497,36.0,1497,3.0,3.0
76623,TX,0.0,102,44.7,102,0.0,0.0
76624,TX,0.0,2679,39.6,2679,0.6087,0.6087
76626,TX,0.0,1219,37.8,1219,3.0,3.0
76627,TX,0.0,1399,47.8,1399,3.0,3.0
76628,TX,0.0,101,40.3,101,0.0,0.0
76629,TX,1.0,1812,48.8,1812,3.0,3.0
76630,TX,0.0,1688,50.4,1688,0.8805000000000001,0.8805000000000001
76631,TX,0.0,471,37.8,471,3.0,3.0
76632,TX,0.0,1464,48.3,1464,3.5922,3.5922
76633,TX,4.0,6037,41.2,6037,2.8818,2.8818
76634,TX,8.0,7483,49.6,7483,6.0,6.0
76635,TX,0.0,1382,31.4,1382,3.0,3.0
76636,TX,1.0,1678,38.4,1678,3.0,3.0
76637,TX,1.0,463,46.3,463,3.0,3.0
76638,TX,1.0,3395,37.9,3395,2.9967,2.9967
76639,TX,2.0,2005,40.2,2005,3.0,3.0
76640,TX,0.0,2958,36.4,2958,1.1338,1.1338
76641,TX,2.0,2094,33.5,2094,3.0,3.0
76642,TX,1.0,6226,39.7,6226,3.0,3.0
76643,TX,4.0,16244,37.1,16244,4.0,4.0
76645,TX,7.0,11321,37.7,11321,4.6417,4.6417
76648,TX,1.0,2922,36.8,2922,3.0,3.0
76649,TX,1.0,919,50.6,919,3.0,3.0
76650,TX,0.0,86,35.8,86,0.0,0.0
76651,TX,1.0,4071,36.8,4071,3.0,3.0
76652,TX,0.0,954,58.9,954,3.0,3.0
76653,TX,2.0,1133,57.6,1133,3.0,3.0
76654,TX,0.0,168,28.3,168,1.1187,1.1187
76655,TX,2.0,9572,38.5,9572,6.5846,6.5846
76656,TX,0.0,2478,43.6,2478,3.0,3.0
76657,TX,4.0,12770,38.3,12770,4.1241,4.1241
76660,TX,1.0,480,35.8,480,3.0,3.0
76661,TX,2.0,7266,38.4,7266,4.0,4.0
76664,TX,0.0,3425,38.1,3425,3.5013,3.5013
76665,TX,0.0,2643,49.3,2643,3.0189,3.0189
76666,TX,0.0,245,29.9,245,3.0,3.0
76667,TX,4.0,10494,40.0,10494,4.0,4.0
76670,TX,0.0,1921,39.5,1921,5.3583,5.3583
76671,TX,0.0,1976,54.7,1976,3.0,3.0
76673,TX,1.0,1178,41.0,1178,3.0,3.0
76676,TX,0.0,353,35.8,353,3.0,3.0
76678,TX,0.0,119,61.6,119,0.0,0.0
76679,TX,4.0,1158,38.8,1158,0.0,0.0
76680,TX,1.0,194,37.4,194,0.0,0.0
76681,TX,2.0,760,28.5,760,3.0,3.0
76682,TX,2.0,3559,33.2,3559,3.2865,3.2865
76685,TX,0.0,52,72.6,52,0.0,0.0
76686,TX,0.0,275,53.1,275,3.0,3.0
76687,TX,0.0,1875,56.6,1875,3.0,3.0
76689,TX,2.0,4421,37.4,4421,6.0,6.0
76690,TX,1.0,1280,32.1,1280,2.9811,2.9811
76691,TX,5.0,6288,42.9,6288,6.786300000000001,6.786300000000001
76692,TX,13.0,9662,51.1,9662,3.0,3.0
76693,TX,2.0,1966,40.7,1966,3.1782,3.1782
76701,TX,0.0,1732,33.9,1732,0.0484,0.0484
76704,TX,4.0,7387,27.7,7387,0.2084,0.2084
76705,TX,12.0,31750,35.0,31750,12.7362,12.7362
76706,TX,9.0,40668,23.8,40668,4.5596000000000005,4.5596000000000005
76707,TX,2.0,16602,29.5,16602,0.4688,0.4688
76708,TX,7.0,27679,35.9,27679,0.8986,0.8986
