"state","place","zcta","stab","PlaceName","ZIPName","pop20","afact"
"State code","Place code","ZIP census tabulation area","State abbr.","Place name","ZIP Code name","Total population (2020 Census)","place-to-zcta allocation factor"
"48","03340","76087","TX","Annetta North town, TX","Weatherford, TX",15,0.0271 
"48","03342","76008","TX","Annetta South town, TX","Aledo, TX",621,1 
"48","03360","75550","TX","Annona town, TX","Annona, TX",184,1 
"48","03372","79501","TX","Anson city, TX","Anson, TX",2294,1 
"48","03432","79821","TX","Anthony town, TX","Anthony, TX",3671,1 
"48","03540","79313","TX","Anton city, TX","Anton, TX",907,1 
"48","03564","75946","TX","Appleby city, TX","Garrison, TX",25,0.0453 
"48","03564","75965","TX","Appleby city, TX","Nacogdoches, TX",527,0.9547 
"48","03588","76622","TX","Aquilla city, TX","Aquilla, TX",101,1 
"48","03600","78336","TX","Aransas Pass city, TX","Aransas Pass, TX",7937,0.9995 
"48","03600","78373","TX","Aransas Pass city, TX","Port Aransas, TX",4,0.0005 
"48","03696","76351","TX","Archer City city, TX","Archer City, TX (PO boxes)",1601,1 
"48","03708","77545","TX","Arcola city, TX","Fresno, TX",177,0.087 
"48","03708","77583","TX","Arcola city, TX","Rosharon, TX",1857,0.913 
"48","03768","76226","TX","Argyle city, TX","Argyle, TX",4403,1 
"48","04000","76001","TX","Arlington city, TX","Arlington, TX",34102,0.0865 
"48","04000","76002","TX","Arlington city, TX","Arlington, TX",35021,0.0888 
"48","04000","76005","TX","Arlington city, TX","Arlington, TX",4412,0.0112 
"48","04000","76006","TX","Arlington city, TX","Arlington, TX",25176,0.0639 
"48","04000","76010","TX","Arlington city, TX","Arlington, TX",55887,0.1417 
"48","04000","76011","TX","Arlington city, TX","Arlington, TX",23100,0.0586 
"48","04000","76012","TX","Arlington city, TX","Arlington, TX",27080,0.0687 
"48","04000","76013","TX","Arlington city, TX","Arlington, TX",33619,0.0853 
"48","04000","76014","TX","Arlington city, TX","Arlington, TX",35954,0.0912 
"48","04000","76015","TX","Arlington city, TX","Arlington, TX",16997,0.0431 
"48","04000","76016","TX","Arlington city, TX","Arlington, TX",29334,0.0744 
"48","04000","76017","TX","Arlington city, TX","Arlington, TX",45614,0.1157 
"48","04000","76018","TX","Arlington city, TX","Arlington, TX",27784,0.0705 
"48","04000","76040","TX","Arlington city, TX","Euless, TX",11,0 
"48","04000","76060","TX","Arlington city, TX","Kennedale, TX",175,0.0004 
